user_id,week_year,num_ascolti_totali,num_ascolti_artista,artisti_univoci,generi_univoci
AJ1AJ,2015/20,5,0,4,3
AJohnDoe,2013/33,182,2,105,35
ARRANRP,2015/12,181,1,148,35
ARhodes123,2015/25,26,0,24,14
ARhodes123,2015/27,12,0,10,5
ARhodes123,2015/28,22,0,21,11
ARhodes123,2015/29,7,0,7,6
ARhodes123,2015/30,47,2,38,16
ARhodes123,2015/32,2,0,1,1
ARhodes123,2015/35,4,0,4,4
ARhodes123,2015/41,3,2,2,2
ARhodes123,2015/46,2,0,2,2
ARhodes123,2015/51,2,0,1,1
ARhodes123,2016/01,4,0,4,2
ARhodes123,2016/07,1,0,1,1
ATDent,2016/04,9,0,1,1
ATDent,2016/05,7,0,4,3
ATDent,2016/06,16,0,6,5
ATDent,2016/07,1,0,1,1
ATDent,2016/08,1,0,1,1
ATDent,2016/09,7,1,7,6
ATDent,2016/12,4,0,4,3
AVFC1969,2011/08,31,1,30,9
AVFC1969,2011/10,3,0,3,1
AVFC1969,2011/12,32,0,26,6
AVFC1969,2011/27,31,0,29,8
AVFC1969,2011/28,21,0,20,6
Abbilina,2011/36,7,0,1,1
Abbilina,2011/37,27,0,14,6
Abbilina,2011/38,33,1,21,10
Abbilina,2011/40,6,0,2,2
Abbilina,2011/41,1,0,1,1
Abbilina,2011/44,34,3,19,13
Abbilina,2012/05,4,0,4,4
Abbilina,2012/08,6,1,5,5
AbbyGeorgeson,2016/09,68,0,25,9
AbbyGeorgeson,2016/10,37,3,25,13
Abstract_Ellie,2008/08,7,0,6,3
Abstract_Ellie,2008/19,3,0,1,1
Abstract_Ellie,2008/22,3,0,2,1
Abstract_Ellie,2008/23,7,0,6,4
Abstract_Ellie,2008/29,14,0,3,2
Abstract_Ellie,2008/32,10,0,1,1
Abstract_Ellie,2008/37,3,0,3,2
Abstract_Ellie,2009/12,1,0,1,1
Abstract_Ellie,2009/16,2,0,2,2
Abstract_Ellie,2010/03,3,0,3,2
Abstract_Ellie,2010/33,12,0,12,5
Abstract_Ellie,2011/51,1,0,1,1
Abstract_Ellie,2013/14,23,0,19,12
Abstract_Ellie,2013/18,21,1,20,12
Abstract_Ellie,2013/37,1,0,1,1
AcaciaBrown,2010/22,6,0,5,4
AcaciaBrown,2010/23,8,0,6,2
AcaciaBrown,2010/26,7,0,1,1
AcaciaBrown,2010/27,4,0,1,1
AcaciaBrown,2010/29,15,0,5,2
AcaciaBrown,2010/30,25,2,21,7
AcaciaBrown,2010/31,2,0,2,2
AcaciaBrown,2010/34,1,0,1,1
Acciomoose,2015/18,3,0,1,1
Acciomoose,2015/19,4,0,4,3
Acciomoose,2015/22,27,1,24,9
Acciomoose,2015/24,14,0,1,1
Acciomoose,2015/27,1,0,1,1
Acciomoose,2015/28,6,0,1,1
Acciomoose,2015/36,1,0,1,1
Acciomoose,2015/41,16,0,3,3
Acciomoose,2015/43,17,0,6,3
Acciomoose,2015/45,15,0,14,11
Acciomoose,2015/46,6,0,1,1
Acciomoose,2015/50,3,0,3,3
Acciomoose,2015/51,1,0,1,1
Acciomoose,2016/10,35,0,30,16
Acciomoose,2016/11,4,0,3,3
Aceinthepack,2015/37,9,0,2,2
Aceinthepack,2015/38,1,0,1,1
Aceinthepack,2015/39,81,0,6,2
Aceinthepack,2015/40,32,0,3,2
Aceinthepack,2015/42,5,0,5,1
Aceinthepack,2015/43,3,1,3,1
Aceinthepack,2015/46,2,0,1,1
Aceinthepack,2015/48,30,0,5,4
Aceinthepack,2015/50,6,0,3,3
Aceinthepack,2015/52,1,0,1,1
Achtung_Baby,2010/45,97,14,4,3
Achtung_Baby,2012/14,12,0,11,7
Achtung_Baby,2012/15,8,0,8,4
Achtung_Baby,2012/27,1,0,1,1
Achtung_Baby,2012/29,33,0,4,3
Achtung_Baby,2012/39,25,0,6,3
Achtung_Baby,2012/52,17,0,1,1
Achtung_Baby,2013/01,1,0,1,1
Acquiescence,2014/50,8,0,4,4
Acquiescence,2014/51,26,1,9,8
Acquiescence,2014/52,2,0,1,1
Acquiescence,2015/10,39,0,8,6
Actorbaybee,2011/36,23,0,13,5
Actorbaybee,2011/37,66,2,42,17
Actorbaybee,2011/38,23,2,18,10
ActualSound,2015/37,4,0,4,2
ActualSound,2015/42,13,0,3,3
ActualSound,2015/46,18,0,5,3
ActualSound,2015/48,19,0,7,3
ActualSound,2015/49,16,0,8,5
ActualSound,2015/51,20,0,7,6
ActualSound,2015/52,53,1,17,6
ActualSound,2015/53,16,0,8,6
ActualSound,2016/01,13,0,6,3
Ad_C,2016/12,183,2,135,29
AdachiBaby,2015/08,129,8,49,18
AdachiBaby,2015/22,1,0,1,1
Adam1988innit,2016/12,191,7,54,22
Adam85Hewson,2013/01,23,2,18,9
Adam85Hewson,2013/02,99,1,29,15
Adam85Hewson,2013/03,58,0,37,19
Adam85Hewson,2015/22,6,0,4,4
AdamParker1986,2016/08,12,0,6,3
AdamParker1986,2016/09,55,1,8,4
AdamParker1986,2016/10,31,1,11,4
AdamRawrr,2011/16,72,0,6,3
AdamRawrr,2011/17,19,1,18,9
AdamTJ1992,2013/05,6,0,6,4
AdamTJ1992,2013/06,4,0,4,2
AdamTJ1992,2013/07,36,2,28,14
AdamTJ1992,2013/08,37,0,22,10
AdamTJ1992,2013/11,2,0,2,1
AdamTJ1992,2013/12,14,0,8,5
AdamTJ1992,2013/13,32,1,21,9
AdamTJ1992,2013/14,4,0,3,3
AdamTJ1992,2013/15,9,0,7,5
AdamTJ1992,2013/16,3,0,3,3
AdamTJ1992,2013/17,10,0,7,5
AdamTJ1992,2013/46,9,0,7,4
AdamTJ1992,2014/02,1,0,1,1
AdamTJ1992,2014/04,2,0,2,2
AdamTJ1992,2014/10,3,0,2,2
AdamTJ1992,2014/11,2,0,2,2
Adie_A7X,2015/22,19,1,18,9
Adie_A7X,2015/23,37,1,28,12
Adie_A7X,2015/36,20,0,19,10
Adie_A7X,2015/42,3,0,2,2
Adie_A7X,2015/46,15,0,2,2
AdrianKrzywon,2012/25,161,5,107,24
Adsar,2013/14,15,0,11,8
Adsar,2013/16,1,0,1,1
Adsar,2013/17,21,0,5,4
Adsar,2013/19,10,0,10,8
Adsar,2013/22,23,0,21,9
Adsar,2013/24,50,1,17,9
Adsar,2013/27,22,0,12,11
Adsquan,2014/12,8,0,3,2
Adsquan,2014/15,35,2,8,8
Adsquan,2014/19,11,0,2,2
Adsquan,2014/22,1,0,1,1
Adsquan,2014/23,23,1,15,6
Adsquan,2014/24,2,0,1,1
Adsquan,2014/25,3,0,1,1
Adsquan,2014/26,2,0,1,1
Adsquan,2014/27,1,0,1,1
Adsquan,2014/28,11,0,2,2
Adsquan,2014/29,7,0,1,1
Adsquan,2014/40,11,0,2,2
Adsquan,2014/42,3,0,3,3
Adsquan,2015/47,5,0,1,1
Adsquan,2016/10,2,0,2,2
Adsquan,2016/11,4,0,2,2
AdulteratedJedi,2015/32,80,1,19,8
AdulteratedJedi,2015/33,1,0,1,1
AdulteratedJedi,2015/38,1,0,1,1
AdulteratedJedi,2015/40,2,0,2,2
Adunakhyr,2012/18,35,0,30,18
Adunakhyr,2012/20,4,0,4,3
Adunakhyr,2012/40,3,0,3,2
Adunakhyr,2013/08,9,0,9,4
Adunakhyr,2013/33,15,0,15,11
Adunakhyr,2013/34,50,1,37,6
Adunakhyr,2013/35,50,0,48,27
Advent_Child,2011/16,22,0,19,12
Advent_Child,2011/17,84,1,48,21
Advent_Child,2011/20,12,0,10,6
Advent_Child,2011/22,2,0,2,2
Advent_Child,2011/23,13,0,9,7
Advent_Child,2011/25,4,0,4,3
Advent_Child,2011/26,2,0,2,2
Adzyboy,2010/25,25,1,20,13
Adzyboy,2010/26,139,0,40,22
Aelthar,2012/11,12,0,4,4
Aelthar,2012/12,104,1,20,6
Aelthar,2012/31,12,0,2,1
AeneasVsTurnus,2013/21,35,1,33,17
AeneasVsTurnus,2013/22,42,0,37,17
AeneasVsTurnus,2013/23,6,0,6,5
AeneasVsTurnus,2013/24,24,1,22,8
AeneasVsTurnus,2013/26,25,0,24,11
AeneasVsTurnus,2013/28,1,0,1,1
AeneasVsTurnus,2013/29,5,0,5,4
AeneasVsTurnus,2013/39,3,0,1,1
AeneasVsTurnus,2014/04,2,0,1,1
AeneasVsTurnus,2015/28,27,0,19,6
AeonsRemain,2014/01,1,0,1,1
AeonsRemain,2014/42,22,0,22,14
AeonsRemain,2014/48,1,0,1,1
AeonsRemain,2014/51,1,0,1,1
AeonsRemain,2014/52,1,0,1,1
AeonsRemain,2015/04,126,4,108,37
AeonsRemain,2015/05,16,1,16,9
Aeris_El_Oso,2014/06,1,0,1,1
Aeris_El_Oso,2014/07,5,0,3,3
Aeris_El_Oso,2014/08,1,0,1,1
Aeris_El_Oso,2014/11,19,0,1,1
Aeris_El_Oso,2014/15,1,0,1,1
Aeris_El_Oso,2014/18,3,0,3,3
Aeris_El_Oso,2014/19,3,0,1,1
Aeris_El_Oso,2014/21,1,0,1,1
Aeris_El_Oso,2014/22,9,0,2,2
Aeris_El_Oso,2014/23,8,0,1,1
Aeris_El_Oso,2014/24,7,0,3,3
Aeris_El_Oso,2014/26,4,0,1,1
Aeris_El_Oso,2014/28,1,0,1,1
Aeris_El_Oso,2014/29,1,0,1,1
Aeris_El_Oso,2014/30,1,0,1,1
