user_id,num_ascolti_totali,num_ascolti_artista,settimane_totali,settimane_artista,artisti_univoci,generi_univoci,degree_initial_network,num_amici,quota_amici_artista,friends_num_ascolti_totali,friends_num_ascolti_artista,friends_settimane_totali,friends_settimane_artista,churn,reason
MisterMouse,196.0,37.0,4.0,3.0,38.0,19.0,31,8.0,0.25,132.75,4.625,9.125,0.625,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Mr_Softie,179.0,11.0,13.0,5.0,85.0,18.0,4,1.0,0.0,126.0,0.0,18.0,0.0,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
Navarre0,132.0,12.0,5.0,2.0,29.0,13.0,14,11.0,0.181818181818,132.0,2.27272727273,6.72727272727,0.181818181818,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
NickTuck,130.0,13.0,5.0,3.0,36.0,11.0,5,4.0,0.0,133.75,0.0,3.75,0.0,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
Noobleton,169.0,23.0,9.0,3.0,22.0,12.0,12,2.0,0.0,144.0,0.0,2.0,0.0,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
O8lewisjos,148.0,11.0,4.0,2.0,46.0,19.0,34,17.0,0.470588235294,130.764705882,1.52941176471,7.94117647059,0.588235294118,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
OmgDibble,163.0,13.0,5.0,4.0,37.0,19.0,11,7.0,0.142857142857,129.0,1.71428571429,4.42857142857,0.142857142857,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Ordinary-Monkey,163.0,36.0,5.0,2.0,26.0,14.0,1606,506.0,0.140316205534,133.480237154,0.774703557312,5.58300395257,0.203557312253,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
PhilSlot,192.0,12.0,5.0,2.0,52.0,11.0,25,9.0,0.111111111111,138.111111111,0.111111111111,4.77777777778,0.111111111111,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
PieForSlipper,153.0,11.0,11.0,8.0,92.0,22.0,9,6.0,0.333333333333,126.333333333,2.33333333333,5.66666666667,1.0,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
