user_id,churn,reason
Umwongo,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
Demigod1993,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Kung-Fu_Devil,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Jazzy_hall,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
jax359,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
Daren68,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
version3point1,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
jayjay_jayme,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
xmalvdeadx,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
marieeeel,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
flashstepandy,1,B - [CHURNER] ascolto/i artista nelle ultime 3 settimane <3
ash_walker,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
maccathesaint,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
nouveller,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
salopian,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
MatthiasEdgar,1,D - [CHURNER] quota ascolti artista ultime 3 settimane <= 0.1
nikkistargirl,0,C - [NOT CHURNER] quota settimane ascolto artista >= 0.65
CieleFu,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
andrew_ackrell,1,A - [CHURNER] buco di almeno 3 settimane dopo l'ultimo ascolto
molkatt,0,E - [NOT CHURNER] quota ascolti artista ultime 3 settimane > 0.1
