user_id,week_year,num_ascolti_totali,num_ascolti_artista
DiabloLiam1212,2011/44,9,0
DiabloLiam1212,2011/45,2,0
DiabloLiam1212,2011/48,6,0
DiabloLiam1212,2011/49,22,0
DiabloLiam1212,2012/01,7,0
DiabloLiam1212,2012/02,14,0
DiabloLiam1212,2012/03,16,12
DiabloLiam1212,2012/04,17,1
DiabloLiam1212,2012/05,6,0
Disasterplan,2016/09,12,0
Disasterplan,2016/10,27,1
Disasterplan,2016/11,10,0
Disasterplan,2016/12,51,24
Disasterplan,2016/13,37,1
Doyle-Doyle,2015/38,23,1
Doyle-Doyle,2015/39,78,25
Doyle-Doyle,2015/53,1,0
Doyle-Doyle,2016/10,23,0
Doyle-Doyle,2016/11,11,0
Doyle-Doyle,2016/13,15,0
EmergencyExit,2014/39,1,0
EmergencyExit,2014/40,6,1
EmergencyExit,2014/41,122,28
EmergencyExit,2014/42,1,0
EmergencyExit,2015/07,13,0
EmiweeHale,2013/19,5,0
EmiweeHale,2013/21,11,0
EmiweeHale,2013/23,1,0
EmiweeHale,2013/25,4,0
EmiweeHale,2013/26,6,0
EmiweeHale,2013/28,9,0
EmiweeHale,2013/29,43,8
EmiweeHale,2013/35,13,13
EmiweeHale,2013/37,28,3
EmiweeHale,2013/49,37,0
EmiweeHale,2014/09,1,0
EmiweeHale,2014/13,1,0
FUNKmillitia,2011/45,24,6
FUNKmillitia,2011/46,46,5
FUNKmillitia,2012/37,17,0
FUNKmillitia,2012/38,8,0
FUNKmillitia,2012/46,32,0
FUNKmillitia,2013/25,7,0
FUNKmillitia,2013/34,12,0
FUNKmillitia,2014/51,10,0
Gareeh,2016/07,20,1
Gareeh,2016/08,26,0
Gareeh,2016/09,26,6
Gareeh,2016/10,32,7
Gareeh,2016/11,9,0
Gareeh,2016/12,11,0
Gareeh,2016/13,38,0
Grace_Ox,2016/07,5,0
Grace_Ox,2016/09,102,14
Grace_Ox,2016/11,31,2
Grace_Ox,2016/12,2,0
Grace_Ox,2016/13,17,1
Groovurism,2011/37,32,5
Groovurism,2011/38,8,1
Groovurism,2011/39,77,6
Groovurism,2011/40,15,1
HenryBaines,2014/20,20,1
HenryBaines,2014/24,2,0
HenryBaines,2014/25,44,4
HenryBaines,2014/27,2,0
HenryBaines,2014/32,30,0
HenryBaines,2014/37,9,9
HenryBaines,2015/06,5,0
HenryBaines,2015/09,27,0
HenryBaines,2015/10,13,0
HenryBaines,2015/23,8,0
HenryBaines,2015/27,13,0
HenryBaines,2015/28,6,0
HenryBaines,2015/44,1,0
HetJammin,2014/19,15,4
HetJammin,2014/23,75,5
HetJammin,2014/37,65,3
