user_id,degree_initial_network
Gordonmac,46
mikep20,11
colly1990,11
GeorgiaRamone,19
aimz87,3
LHP-Records,50
livington,33
cemeteryweather,8
dearnextyear,16
Aletdownofstate,19
paulkane,9
Tweecho,16
YouOweMeASoda,8
Lyou,2
nedrichards,55
Amehzing,7
phockey21,15
room,50
londoneye82,3
cfh_x,43
AestheticOfHate,29
spindlyone,29
mikejthom-yorke,28
pocketfuloflips,76
Quirf,27
Oshunai,115
AntigoneBastin,49
NeonCluster,5
GarethONACID,39
MysteryDaf,30
fragglespank,14
lauracatherine,33
MakaveliSTO,78
memss,3
StratisFTW,32
MickyMc91,42
ffionormond,44
nommie_nom,18
DGON71,8
paul_curtin,2
arseyrob,49
alexwhatley,27
alesserbeauty,14
Big_Fishy_Bob,11
pink-zo,8
world_of_furr,24
despotofmidnor,6
rjek,55
drseyus,16
jodiejodiejodie,3
mada193,4
synesthesiac,77
kellymcfearless,52
witsd,5
sarabian,20
monai,35
monas,70
lbsham69,13
herjuless,71
tombradleydrums,3
Juzz1994,9
MrsDSIain,4
chemicalrachel_,16
scottj21,11
ReverendHolland,45
shimmyandashake,3
tucker91,19
ZeonXXIV,1
davetheimpaler,46
sonofhal,209
jaay89,11
hmwilger,5
caitmcgreevy,20
davethebassman,83
alekandr,18
AaronBrock,48
xjinglesx,197
nicklive,8
ziapoppy,5
kirstyyleanne,42
nophretz,14
stuie86,8
CharlieEnsor199,31
vivo966,40
Samoore2,22
Ishaaaq,9
doctorvee,60
joelmartin90,6
Roooopeeert,46
matty32669,23
Haneebob,13
Danniioo,47
Harpo_Marxist,47
JackMarge,13
brough_j,6
Focicka,22
pib712,16
Bought_New_Soul,95
JustAPaperBag,18
Iconoclast2190,32
pinkymcsian,7
pastry,29
stevemallon,5
jamesibeson,31
yourmajesty90,7
pinballkid,16
Stigweird85,8
ConorTickner,2
JayJ_26,2
Destor91,13
rosasadler,15
sfreebairn,23
lightfading,24
bearscotland,7
G33JAY666,152
ColetteRose,10
Fuckyeahhh,16
Bezro,7
crag-de-crag,9
jayjay272,6
Rossy_M,70
tombojombo,83
Tenzing_,22
lauraaajaneee,27
skeleton_bones,23
TabithaAphra,2
MenaDC,38
gary-w-smith,2
hellodean,31
sex_drugs_metal,4
mattiesplattie,19
ivelostmysock,14
Holliee-xo,58
jona-uh,103
kyle_thunder,40
faddiet,36
Vetz,11
TBAWF,1
debra51,203
still_ill,37
smitty350z,6
Megann1x,78
Darrenisonfire,13
AstroZombie713,14
wellings,12
majorleaguer,50
sectiondisparu,14
LindaOhGee,2
VoiD3d,21
hashcake77,73
Dfects,20
lisajanehearn,15
Ulysses23,44
WinterLullaby,9
johnhhawkins,2
caffeineisgreat,7
ridwan326,3
_JinjaNinja,51
Toffeedrops,4
lozpunk,13
Boyinky,174
ShinobiEngland,6
TwoFingersMcLucky,53
backedbybeats,67
l-h-o-o-q,50
skniteoj,43
Boileroom,2
D4yh4wk,26
czechczeck,15
madferit24,3
x_little_wing_x,6
The_BFFB,41
Ollybeat,9
Ollie2289,50
Meggin95x,130
bossanova-baby,2
Nutter_101,2
amchoochoo,14
kerroy112,10
JaykeLouis,29
onehand_clap,14
spasticjab,55
Ooer,46
ninaovca,23
RichardJ,4
mikes_p,31
jamesjefferies,40
snowlet,32
aneri01,7
Grimmie,42
StuartHaden1,186
upstr,2
stasiek7632,43
wooderswoodcock,92
suhaib168,6
Matt555,9
Claire_Pud,8
ellareed_,4
Wreckedd,59
Deadcellsband,55
sineadxx,11
Tris2K9,22
Radiomorphism,32
cathzombie,24
shapeshifted,96
MarkDeLuca,11
comedybob,10
boffin987,3
Dzod,7
rdmch,2
johnnyrelevant,2
parsonsgfys,32
Just_Tom,17
intrepid125,10
commontongues,14
ichbintessa,4
LessThanSte,3
refikgokmen,28
graceplumb,29
TCParkin,13
voder,8
EwanJF,2
pink_alib,95
kingbulb,14
CRACKER84,43
fbterry,4
dawnbudge,2
RubySoho5,2
DocJock,8
minimartell,11
mattisMKULTRA,19
jm64042,20
jonasrob,24
Ellenosaurus,3
Mighty_Grimlock,23
darrenm91,9
drunk_mike,22
glamourkilled,3
thomas-e-craig,7
DJDonegal,10
driftingwandere,25
tasteslikemmm,15
Bahooma,22
lukaslondon,72
bluecandylover,12
psychosocial555,9
traffic-light,32
JorjanaBanana,4
franwishes,16
Twiggy3,77
brightstorm,6
SazzleSuicide,2
dusklight,3
ELLAYYY,73
ICHIOffkey,11
rossjordannn,18
sulex12,27
charbinx13,5
mountvision,6
yoursweetvoice,3
darkgizmo,4
Annarface,28
Charley8,102
Skitty22,15
dommica,11
Alice-Christina,36
jennifag,28
Redrhobot,1
Bis0razorback,27
leeroynottle,8
WynessShuffle,36
r0bt,8
TomJendriks,17
markaleksander,18
midsomer,46
sevensevenboom,2
DiabloLiam1212,2
Danabells,25
meanmrmustard86,8
kevtbh,43
davidrose,4
Ogre,77
winnets99,13
SomethingPinata,23
rob-mcfc,41
aimeelouisexx,2
ThePoetsLove,18
SB-Punk,11
dholliday16,9
Xenogalaxy79,31
smokeghost,3
stix2city,11
hellocellohello,7
elejackson,5
siliconmeadow,30
xuxi22,12
reclusivemonkey,4
kp6000,25
AJ-San,1
mizzlerizzle,28
your_mum_yum,5
sarahearnshaw,25
digifingers,4
Lawrahhh,10
drew99,18
srs76,2
ALANN20,3
aliceinnit,27
fordprefect13,12
grebes,43
steverumens,4
vinnywan,11
Flattopbops,9
DeppyLegs,123
shemhavoc,31
Lelley1979,3
leighm13,113
chinnza,1
emjay20,2
IThund3rSt0rMI,16
deborah09,142
infinityplus1,13
Brento85,135
ding-ding,11
Skye_2k7,11
MCRoastPotatoes,12
simonxxxxxx,4
Zacheryness,143
maninalift,43
clareemblem,5
felicitywhitton,25
watchthethunder,86
mkbrakes,7
guyredwood,9
evangelinemah,34
kjw89,5
lolpants,5
ivoryblacks,46
lostmaverick,35
justboy1984,17
ali-rolleston,8
samanthaf8,7
YouRang,20
charlottecan,21
lonelyforher,60
purplegherkins,20
DaniInRealLife,8
vaccination,5
AtTheBar,16
roseeposee,5
eykelsplosch,51
acron,19
julianmurph,8
toomanykooks,53
MichaelPenis,15
cissmiace,16
space_RAIDER,7
3stripe,29
Jamie_5103,1
pwdbugzy,13
InTheUnion,11
SpandexGibbon,9
robdut,16
itawsaras,22
buryblue,17
mollysb,12
oblongpictures,26
jyxz,24
Trundrumbalind,40
HenryT09,69
brendansparrow,7
glinda_elphie,45
theGoast,2
quaiter,10
Freeznbreeze,6
wootinks,15
gauisb,37
markodonoughue,12
luxurybiscuit,13
Thorntonnn,31
Starfox118,24
Jimwils7,2
pegnose,71
Roops1,8
Biscuit90,12
tatisentinel,51
itsBeckyy,155
jen72,25
leburnhealeyman,39
g675,51
mamalygin,51
minotaur1993,2
monkey3134,16
mixedlollies,83
Noshbox,13
zombie-sean,16
TragedyQueen,129
Angelsinthecity,4
Wordplayy,25
ohyaynaomi,8
katiemicrocuts,39
katie_thwatie,9
blaze_hatman,9
Lolzzzorr,18
paul2802,8
M-Face,12
atmity,11
ellengriffiths,2
neko_charlotte,13
tom8634,33
declectic,23
etiopczyk,300
Berkut90,13
stars__cascade,25
RazerWolf,41
ConnorEmarosa,42
Felleybeat,27
vyvyenne,2
mynameislae,2
zmarsden,13
leigh246,18
imakemydeals,19
MissXAmber,22
ForgottenSon87,53
amehcaek,20
mike1962,89
EJNorman,17
BigAls,35
zoltan88,11
abi_fender,2
klas_e,32
emilykarakas,6
misshelen,16
OffBeatAzz,8
princessmoog,9
slugmarthewise,22
miniwaites,1
Poml-podcast,35
natapea,22
disposableshit,47
lauracake,4
kapwell5,1
todunctious,2
shaybexdon,4
Amertrine,9
xTea,20
guitarjoe2,21
MCBlake,20
VermilionSands,3
julia154,4
_dontlosetouch,38
pent_up_aching,5
megalolz,11
Central_Control,30
Kirssty,3
bats_on_fire,25
FALLOUTALEX,4
vivy_is,20
Megsified,103
Joshwilliams,23
brainsteww,9
snake289,127
kittenesque,41
imconor,2
THFCGirlie,55
miyavi-desu,68
djdunne6,25
ManUtdRul3,10
AshleyScott90,15
LemonShower,3
StuXIIV,16
TheDylstar,6
Aceinthepack,36
Murdocke,19
bennymiller,7
chenniferrrr,11
jonnnnnnn_x,22
NinjaRabbits,1
whisperingdave,25
NiteAntix,1
fpsrose,36
kramdude,18
Lisamassacre,56
Blondie1991,3
telegramme,20
maddiemaddiemad,8
tjruffell,3
dirkvanguard,16
thamesbeat,4
mynameisellen,147
Claud444,3
permarbor,4
simonmaddox,16
K_e_n_n_e_r_s,13
justdan96,4
James_DCFC,10
cat_boots,30
xthebreakingx,36
aysemciim,17
MeganEvee,76
sazisaband,70
katiestaunchino,62
AmandaPandax3,6
Beltons,11
emorock,63
keefybaker,114
XxXHjJXxX,65
chingbling,3
saturdaysecrets,22
ayisi,7
Danmagnet,7
xxANITAxx,6
klstewart,47
accioramen,5
pedropaf,34
JeSuisEurasion,8
willy1ka,23
tessa91,42
Dan8859,22
ciaranfleck,19
dangerlizzie,9
musicofmisery,28
imreallymessy,8
LiamJ_ledzep,1
ADuddles,5
3RetroXCUPCAKE,56
Bonsuboy,87
melvin-wakes,46
itexplodes,49
DanielShikari,37
NorthernFusion,30
Wemmy,41
creepy_bob,15
Jonnylisle,62
Emmaness-,62
agcocco,2
Mulderctp,1
Acidicx,11
SuperTatsyrup,28
Richardetto,27
wrongun,9
sarahflubsmusic,28
warpkid,32
N11,4
AdamDowds,46
bigbirdmusic,40
RachieBat,142
no-seatbelt,46
SpeedKnux,17
Rob1874,5
songkick,41
turnonthenews,13
ProvingBalloon,7
el_tell,2
chezshetland,29
who-shares-wins,25
dannss,35
Favonius,21
soul_one,169
BenjaminLuke,25
placebojunkie,240
drofeel,1
dgrant88,15
Skankie,295
oncetwicethrice,10
im_pisces0203,1
Davie_UCF,101
nickchopper,9
maurj,14
Riggage,13
ernest-b,18
mikerowe,2
haynes_dave,12
kellyprovan,5
TheWagonMaster,32
harrietalyce,19
fourstar,7
ilovegandalf,13
desperatedan07,34
KikiiMcI,16
mandapops,52
StuntMonkey13,103
eloise-please,9
AledMCR,40
cylinderhead,25
njhamer,8
Malsain,29
OMG-its-Jessika,1
neo6776,3
SlimNeddy,52
Laurafrancis5,26
blue9,36
ButterflyCryXx,291
imstillfalling,1
lch4ll3n,3
misslolitalove,72
Samt17,15
mirey,32
actionpop,17
melons,13
TheChaosSociety,169
niki-baines,6
powwpoww,91
gebe3,13
melodycarter,16
ukpeewee,4
jamieharding,18
jcu_jenn,12
leerobert,66
autumn_gail,15
elfpower,28
lan_fkn_castro,14
The-Analyst,21
weirdgirl15,196
kargo08,518
jdh919,20
Iceman7427,23
snowgoon,53
tomdmaher,13
Losandysinos,19
samwholikesmuse,12
brainypup,7
fakesensations,80
sergeantpicto,1
jimmygcymru,11
DyingInSin,39
blackmarketkarm,176
jayman2000,19
EastEndLass,27
kerenaribena,7
jasonyates,9
just_smile92,12
ParallaxSounds,239
kittyelvis,3
itsJOHNO,29
lilywhitecurtis,7
kitechippymatt,21
OneLeader,44
L-lightstealer,8
coolstorybro_x,3
Suedey,119
GabyGay,33
Moso88,15
garethewhite,30
xJayJayx,58
LCDBill,26
robfrancis,4
xletsbescenex,36
Lanabananasoup,30
Nightpig,26
jesski,15
jspearink,6
bronbuick,3
leighisaloser,20
j_m_w,38
britneymafia,11
NoOrderRecords,8
PTCowan,15
HollisMark,3
inparenthesis,22
isaaclegate,29
SellMachine,35
liveinlasvegas6,36
Meatbreak,468
AlexandraBone,54
AdamTheSmith,29
GingerJessica,3
Simono3o3o,67
DEKATAPROJECT,2
steracco,25
kirstylfoster,1
DippyRascal,8
Mehdi-Idrissi,4
wilg123,14
dasistchris,4
sideath,57
mkprodigy,25
AlexBadLuck,63
cMadman,11
ThatLiamDudeXD,19
luetchford101,6
nagomitaro,43
Dansiferum,55
alijamieson,122
Sinmara77,325
victoriachan,41
hannahbanannah,68
mthomas15,4
kerryjj,22
No1KingsXFan,10
mywillbedone,12
frood2003,24
SarahJames93,5
Green_Fairy_,3
SebThelemA,4
MattR0BERTS,74
EndlessNoodles,7
Bhuna,3
moo600,15
Herrcules,11
oh_do_shutup,9
Xavier03241,6
mahdi87,51
skellbert,3
privetnaden,26
ForwardAdam,10
Spik31,7
Skardebourg,2
radasaurus89,8
crazy6,2
PrestoRock94,36
Watsonaes,18
Jazza_uk,26
Kamitoman,29
nu-Wilbs,8
rthomo93,14
thelightbrigade,26
icouldhavlied,15
MrLoreal,5
Charleeeey,357
ninja_sex,54
peppernom,17
sabaahamid,32
TouchBand,10
TwoFiddy,27
bethsuts,8
Dear-Insanity,1
Bigmanmusic,147
j1mj1nx,10
fridgefingers,4
rayspark,36
Leuw,13
discojaws,14
hudsonator,3
deuxanimaux,25
MrDoovde,225
cal9292,159
mullenmetal,88
danielle-91,31
kaz107a,6
Collage-Kittie,4
flotsky,19
Rathferth,16
caraaa_x,100
RetroTrippin,13
jmcv,38
