user_id,num_ascolti_totali,num_ascolti_artista,settimane_totali,settimane_artista,artisti_univoci,generi_univoci
84leon,122,0,10,0,85,25
8564,180,0,10,0,67,20
867_5309,70,0,5,0,61,28
86intheshade,163,0,12,0,121,19
89Franco,100,0,4,0,11,5
89laurence,105,0,5,0,18,8
8Chris8,141,0,2,0,56,27
8aldr1c0,117,0,10,0,73,28
8bitnewwave,77,0,3,0,10,8
8bitsboy,109,0,5,0,50,21
8lettersuk,103,0,9,0,77,25
8thompso,107,0,6,0,22,9
90th11,120,0,1,0,19,9
93daniel09,162,0,5,0,29,16
95percentKIRA,175,0,10,0,41,10
96th,89,0,3,0,47,25
97dmcevoy,67,0,4,0,27,20
9829599,143,0,11,0,119,40
987poiuytrewq,157,0,5,0,43,24
99Breeds,150,0,4,0,27,16
99antsim,111,0,6,0,72,24
99domino99,21,0,6,0,16,8
99ruslom,122,0,4,0,21,15
99stennent,137,0,6,0,61,28
9jaYoung,170,0,10,0,118,25
9thAtPine,180,0,4,0,58,18
::Kenickie::,106,0,23,0,24,14
A--S--H,114,0,3,0,49,17
A-Jago,147,0,3,0,7,4
A-K----,109,14,8,2,6,6
A-LIX,172,0,14,0,130,33
A-New-Way-on,121,0,7,0,57,22
A-SundaySmile,180,0,9,0,81,31
A-W-A-X,136,0,1,0,11,10
A-fro,19,0,1,0,7,5
A3X527841,95,0,2,0,53,14
A3sahaettr,94,0,5,0,58,14
A511ley1,177,0,15,0,126,24
A5HL3Y123,100,0,5,0,67,31
A7XAshX7A,139,0,2,0,27,16
AAEEBBDD,149,0,1,0,26,13
AAcit,132,0,4,0,39,10
ABCD_emily,146,0,2,0,26,15
ABERDEEN12,166,0,12,0,49,10
ABNPosh,331,0,4,0,44,13
ABSOTiRO,112,5,5,1,78,22
ABadDayForJari,151,2,10,2,41,14
ABalconyScott,157,0,4,0,39,18
ABotoxCowboy,173,0,7,0,54,23
ABoyLikeMe86,129,0,9,0,41,21
ABoynamedStu,97,0,14,0,17,9
ACDC_,144,0,2,0,31,7
ACLawrence,123,0,18,0,39,19
ACM175,117,0,7,0,12,8
ACTUAL_DAD,135,0,9,0,21,12
ACaseForHoratio,4,0,1,0,4,1
AColdNightFor,21,0,2,0,20,6
ACrackedSmile,155,1,3,1,72,18
ACroke,160,0,5,0,79,25
ACrutchley,3,0,2,0,3,2
ACullen,192,0,2,0,54,12
ACunningPlan,81,0,1,0,33,14
ADX101,151,0,11,0,61,22
ADuddles,115,0,4,0,90,31
AF-TNowell,113,0,3,0,27,12
AF1987,91,0,1,0,10,7
AFCMatt,147,0,2,0,70,29
AFI_rulethaskul,146,0,4,0,33,12
AF_DanK,13,0,2,0,1,1
AFatUnicorn,138,0,10,0,33,14
AFool,114,0,2,0,80,25
AForests,167,0,7,0,144,33
AFreeThinker,135,0,6,0,42,19
AG-Spike,104,1,2,1,93,31
AGC13,168,0,1,0,20,8
AGFREAKSHOW,157,0,5,0,87,28
AGIRLCALLEDLISA,135,0,20,0,35,22
AGScott,121,0,4,0,31,13
AGapInOnesHoop,166,0,7,0,47,20
AGhostLikeYou,102,0,1,0,56,23
AGreatIdea,175,0,4,0,111,23
AICfreak95,110,0,2,0,11,7
AIDY33,129,0,8,0,36,18
AIRDOLPHIN93,90,0,14,0,59,19
AJ-San,25,0,8,0,23,9
AJ1AJ,155,3,9,2,116,35
AJ412,56,0,2,0,36,16
AJBuggy,112,0,12,0,84,28
AJD_1,147,0,16,0,116,36
AJMOORE,21,0,1,0,20,11
AJMatthews,102,0,2,0,17,13
AJStoakes,159,0,12,0,65,23
AJW1990,182,0,11,0,119,36
AJanusFace,162,0,6,0,65,22
AJayD25,167,0,15,0,86,25
AJayToRemember,135,0,1,0,40,16
AJeggNamedJess,124,0,3,0,37,16
AJenks,155,0,2,0,54,26
AJohnDoe,182,2,1,1,105,35
AJonesyy,80,0,5,0,55,20
AK-CS-MB-JF,172,0,10,0,106,22
AKarev,80,0,2,0,52,19
AKiiiiissForAmy,110,0,9,0,52,20
ALANN20,138,0,1,0,71,32
ALD0ZER,132,0,4,0,37,15
ALWSAM,142,0,11,0,85,19
ALXtop,108,0,4,0,80,26
AL_AL_AL_,89,0,3,0,76,18
ALewington,133,0,3,0,64,23
AMB3RR,62,0,5,0,26,9
AMGZZZZ,88,0,3,0,37,18
AMGjosh,86,0,7,0,26,12
AMomentLikeThis,36,0,9,0,20,9
AN-EPIC-LYRIC,134,0,7,0,88,22
ANALOG85,129,0,3,0,36,18
ANATOMIST,119,0,5,0,53,24
ANCHOR1970,148,0,12,0,112,25
ANDREWBAZ,119,0,11,0,45,10
ANDY098,122,0,11,0,48,23
ANDYINTHEMIX,95,0,6,0,54,21
ANDoconnell129,105,0,21,0,67,15
