user_id,num_ascolti_totali,num_ascolti_artista,settimane_totali,settimane_artista,artisti_univoci,generi_univoci
DMFLETCH,93,4,1,1,23,8
DOWmad,152,2,8,1,65,22
DSA93,164,1,8,1,101,30
DS_P,163,1,5,1,111,35
DTADS,170,3,19,1,49,16
DTNeko,93,1,10,1,31,12
DUCH3SS,135,1,14,1,92,21
DW100,167,1,3,1,123,32
D_C987,187,14,3,2,30,12
Da1e,143,24,10,5,64,19
Daimaro,133,5,6,1,29,12
Daisuke6967,143,1,4,1,47,17
DakkarFM,135,11,10,1,16,8
DaleSmith,163,1,11,1,121,33
DaleXD,89,11,11,1,23,17
Dalehud,143,7,5,1,43,15
Damo1988,173,1,9,1,84,20
Dan-Rocks,159,2,3,2,88,27
Dan-Ultra,112,1,4,1,45,19
Dan1500,115,1,13,1,56,23
Dan1990,162,5,6,2,60,18
DanDan1990,117,1,8,1,87,25
DanHoudini,162,1,4,1,71,28
DanHyam,106,1,5,1,77,24
DanLowth,89,4,7,2,51,15
Dan_ExMachina,154,6,10,2,76,12
Dan_Nifty,160,2,10,1,47,23
Dan_Wilkins,159,2,4,2,49,17
Dan_powell_3,173,1,2,1,72,35
Dandini_,164,4,4,2,46,12
Dandy_,151,2,3,2,127,36
Danger_Stu,117,1,15,1,114,32
Dangerbyham,149,1,2,1,22,12
Dangertorock,147,3,7,2,54,20
Dani313,158,15,21,1,42,21
Dani_do,188,1,1,1,115,37
Dani_the_beast,179,1,18,1,96,30
Danie1990,118,4,4,1,48,15
DanielEvo,162,4,5,2,61,19
DanielShikari,137,1,4,1,62,18
DanielleClarke,167,1,4,1,69,13
Daniellex3McFly,147,3,3,1,21,10
Dannnnnnnnnni,136,1,4,1,77,17
DannyBres,103,10,3,1,55,23
DannyDraven,144,1,4,1,109,39
DannyP7,153,2,5,2,48,19
