user_id,num_ascolti_totali,settimane_totali,artisti_univoci,generi_univoci,indie rock,rock,pop,metal,electronic,hip pop,indie,r&b,punk,folk,altro
AJMatthews,102,2,17.0,13.0,0.0,0.16,0.0,0.0,0.01,0.0,0.29,0.0,0.0,0.02,0.52
AJW1990,182,11,119.0,36.0,0.01,0.41,0.16,0.03,0.02,0.0,0.01,0.02,0.03,0.01,0.32
AJayD25,167,15,86.0,25.0,0.0,0.01,0.09,0.0,0.03,0.0,0.0,0.35,0.0,0.0,0.53
AJayToRemember,135,1,40.0,16.0,0.13,0.11,0.04,0.3,0.0,0.0,0.0,0.0,0.15,0.0,0.27
AJenks,155,2,54.0,26.0,0.0,0.2,0.08,0.33,0.02,0.0,0.0,0.0,0.0,0.0,0.37
ALANN20,138,1,71.0,32.0,0.0,0.02,0.07,0.01,0.19,0.0,0.0,0.01,0.0,0.0,0.7
ALD0ZER,132,4,37.0,15.0,0.0,0.01,0.02,0.45,0.31,0.0,0.0,0.0,0.0,0.0,0.2
AMGZZZZ,88,3,37.0,18.0,0.0,0.11,0.2,0.0,0.06,0.0,0.0,0.0,0.12,0.0,0.5
ANATOMIST,119,5,53.0,24.0,0.02,0.08,0.07,0.0,0.02,0.0,0.0,0.0,0.03,0.08,0.71
ANJ32,156,13,14.0,12.0,0.0,0.28,0.21,0.0,0.01,0.0,0.0,0.03,0.01,0.0,0.47
ARKirkwood,145,6,96.0,37.0,0.05,0.18,0.11,0.0,0.03,0.0,0.01,0.0,0.0,0.26,0.36
AS1LV3RN1NJA,186,2,48.0,22.0,0.13,0.0,0.01,0.0,0.21,0.0,0.0,0.0,0.01,0.0,0.64
AS568,139,6,77.0,34.0,0.0,0.06,0.27,0.01,0.07,0.0,0.01,0.04,0.0,0.0,0.54
ASharkWithKnees,125,6,72.0,23.0,0.0,0.3,0.28,0.01,0.1,0.0,0.0,0.06,0.03,0.0,0.23
ASkn,139,2,110.0,16.0,0.0,0.05,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.73,0.18
ASkuds,157,5,29.0,17.0,0.0,0.3,0.1,0.03,0.0,0.0,0.08,0.01,0.1,0.0,0.38
ATTK,75,2,9.0,8.0,0.0,0.07,0.03,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.65
AVKBH,148,6,69.0,31.0,0.0,0.08,0.2,0.0,0.19,0.0,0.09,0.02,0.01,0.03,0.39
A_R_V,84,3,16.0,12.0,0.04,0.04,0.0,0.0,0.01,0.0,0.0,0.0,0.08,0.15,0.68
A_S_P_84,164,2,38.0,23.0,0.0,0.1,0.11,0.34,0.01,0.0,0.0,0.0,0.0,0.01,0.44
A_Webb,174,5,61.0,20.0,0.0,0.45,0.21,0.16,0.0,0.0,0.0,0.0,0.05,0.0,0.13
Aarny,154,1,15.0,7.0,0.0,0.33,0.14,0.24,0.0,0.0,0.0,0.12,0.03,0.14,0.0
AaronBailey95,303,2,143.0,41.0,0.01,0.09,0.06,0.0,0.11,0.0,0.0,0.02,0.0,0.0,0.71
AaronBali,125,3,56.0,14.0,0.0,0.1,0.06,0.0,0.09,0.0,0.0,0.0,0.0,0.0,0.75
AaronBrock,58,1,53.0,25.0,0.0,0.12,0.38,0.0,0.0,0.0,0.0,0.03,0.02,0.03,0.41
AaronIsCrunchy,113,5,51.0,32.0,0.02,0.26,0.04,0.12,0.03,0.0,0.0,0.0,0.03,0.0,0.51
Aaron_McMuffin,180,2,130.0,30.0,0.0,0.25,0.19,0.0,0.12,0.0,0.0,0.02,0.03,0.0,0.4
AaronsHand,168,6,43.0,19.0,0.01,0.02,0.11,0.07,0.3,0.0,0.01,0.0,0.0,0.05,0.43
Aarran,173,3,91.0,30.0,0.0,0.33,0.16,0.0,0.07,0.0,0.0,0.01,0.11,0.01,0.31
Aasivaisv,92,4,14.0,12.0,0.0,0.32,0.24,0.0,0.07,0.0,0.11,0.0,0.02,0.0,0.25
Abbbeyyy,90,12,34.0,12.0,0.09,0.69,0.13,0.0,0.0,0.0,0.01,0.0,0.01,0.03,0.03
AbbeyLester,163,7,87.0,36.0,0.02,0.4,0.1,0.06,0.0,0.0,0.02,0.01,0.01,0.01,0.36
Abbeyb37,187,2,56.0,23.0,0.0,0.14,0.03,0.5,0.01,0.0,0.0,0.0,0.0,0.04,0.27
Abbi-Cooper,143,1,10.0,7.0,0.0,0.03,0.49,0.0,0.0,0.0,0.13,0.0,0.0,0.08,0.27
AbbiiMushroom,150,5,106.0,25.0,0.01,0.37,0.27,0.01,0.01,0.0,0.01,0.0,0.03,0.02,0.29
Abbstar,141,11,13.0,6.0,0.0,0.65,0.23,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.02
AbbyGeorgeson,105,2,50.0,21.0,0.0,0.08,0.34,0.06,0.02,0.0,0.0,0.0,0.04,0.0,0.47
AbigailEM,140,1,78.0,20.0,0.25,0.11,0.42,0.0,0.02,0.0,0.02,0.01,0.0,0.04,0.12
AbsFTW,127,2,19.0,14.0,0.0,0.01,0.0,0.0,0.07,0.0,0.01,0.01,0.0,0.01,0.9
Abscond,103,3,76.0,30.0,0.01,0.06,0.17,0.0,0.34,0.0,0.01,0.0,0.0,0.03,0.38
Abstraktions,143,4,16.0,11.0,0.01,0.15,0.06,0.0,0.06,0.0,0.0,0.0,0.12,0.14,0.46
Accept-Yourself,145,2,64.0,23.0,0.01,0.19,0.13,0.0,0.11,0.0,0.01,0.0,0.1,0.01,0.44
AccidentPr0ne,164,2,57.0,25.0,0.01,0.41,0.01,0.02,0.01,0.0,0.01,0.0,0.07,0.0,0.45
Acclaimed_cone,168,6,100.0,34.0,0.02,0.32,0.08,0.01,0.01,0.0,0.01,0.01,0.05,0.05,0.45
AccptInstrctn,91,2,27.0,19.0,0.11,0.13,0.0,0.07,0.03,0.0,0.0,0.0,0.13,0.0,0.53
AceOfTheDeck,176,1,73.0,18.0,0.0,0.21,0.66,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.12
